,SpliceEncoded,DNAEncoded,USPSEncoded
Oracle,0.716 +- 0.03,0.689 +- 0.03,0.514 +- 0.03
SAL_23_01_16,0.641 +- 0.05,0.603 +- 0.04,0.474 +- 0.02
Coreset_Greedy,0.655 +- 0.03,0.606 +- 0.04,0.454 +- 0.02
TypiClust,0.663 +- 0.03,0.645 +- 0.04,0.499 +- 0.03
MarginScore,0.639 +- 0.05,0.597 +- 0.06,0.491 +- 0.03
ShannonEntropy,0.636 +- 0.05,0.585 +- 0.08,0.461 +- 0.02
RandomAgent,0.662 +- 0.04,0.602 +- 0.04,0.465 +- 0.03
Badge,0.629 +- 0.04,0.579 +- 0.06,0.438 +- 0.03
BALD,0.595 +- 0.05,0.547 +- 0.08,0.402 +- 0.05
